municipality,municipality_id,district,district_id,community,community_id,supply_demand_year,typology,layout,total_supply,SHAPE_Length,SHAPE_Area
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2027,Apartment / Duplex,4 beds,2,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2027,Apartment / Duplex,All beds,525,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2027,Apartment / Duplex,Studio,91,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2027,Villa / Townhouse,All beds,11,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2027,Villa / Townhouse,Undefined,11,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2028,All property types,1 bed,215,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2028,All property types,2 beds,160,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2028,All property types,3 beds,57,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2028,All property types,4 beds,2,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2028,All property types,All beds,536,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2028,All property types,Studio,91,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2028,All property types,Undefined,11,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2028,Apartment / Duplex,1 bed,215,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2028,Apartment / Duplex,2 beds,160,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2028,Apartment / Duplex,3 beds,57,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2028,Apartment / Duplex,4 beds,2,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2028,Apartment / Duplex,All beds,525,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2028,Apartment / Duplex,Studio,91,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2028,Villa / Townhouse,All beds,11,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,AL REEM ISLAND,57,RS4,154,2028,Villa / Townhouse,Undefined,11,3047.994840511023995,425187.849016185267828
Abu Dhabi City,41,YAS ISLAND,1330,YS3_01,4588,2022,All property types,4 beds,159,3859.801183132641199,676029.236064975149930
Abu Dhabi City,41,YAS ISLAND,1330,YS3_01,4588,2022,All property types,5 beds,36,3859.801183132641199,676029.236064975149930
Abu Dhabi City,41,YAS ISLAND,1330,YS3_01,4588,2022,All property types,7+ beds,4,3859.801183132641199,676029.236064975149930
Abu Dhabi City,41,YAS ISLAND,1330,YS3_01,4588,2022,All property types,All beds,199,3859.801183132641199,676029.236064975149930
Abu Dhabi City,41,YAS ISLAND,1330,YS3_01,4588,2022,Villa / Townhouse,4 beds,159,3859.801183132641199,676029.236064975149930
Abu Dhabi City,41,YAS ISLAND,1330,YS3_01,4588,2022,Villa / Townhouse,5 beds,36,3859.801183132641199,676029.236064975149930
Abu Dhabi City,41,YAS ISLAND,1330,YS3_01,4588,2022,Villa / Townhouse,7+ beds,4,3859.801183132641199,676029.236064975149930
Abu Dhabi City,41,YAS ISLAND,1330,YS3_01,4588,2022,Villa / Townhouse,All beds,199,3859.801183132641199,676029.236064975149930
Abu Dhabi City,41,YAS ISLAND,1330,YS3_01,4588,2023,All property types,4 beds,158,3859.801183132641199,676029.236064975149930
Abu Dhabi City,41,YAS ISLAND,1330,YS3_01,4588,2023,All property types,5 beds,35,3859.801183132641199,676029.236064975149930
Abu Dhabi City,41,YAS ISLAND,1330,YS3_01,4588,2023,All property types,7+ beds,4,3859.801183132641199,676029.236064975149930
Abu Dhabi City,41,YAS ISLAND,1330,YS3_01,4588,2023,All property types,All beds,197,3859.801183132641199,676029.236064975149930
Abu Dhabi City,41,YAS ISLAND,1330,YS3_01,4588,2023,Villa / Townhouse,4 beds,158,3859.801183132641199,676029.236064975149930
Abu Dhabi City,41,YAS ISLAND,1330,YS3_01,4588,2023,Villa / Townhouse,5 beds,35,3859.801183132641199,676029.236064975149930
Abu Dhabi City,41,YAS ISLAND,1330,YS3_01,4588,2023,Villa / Townhouse,7+ beds,4,3859.801183132641199,676029.236064975149930
Abu Dhabi City,41,YAS ISLAND,1330,YS3_01,4588,2023,Villa / Townhouse,All beds,197,3859.801183132641199,676029.236064975149930
Abu Dhabi City,41,YAS ISLAND,1330,YS3_01,4588,2024,All property types,4 beds,159,3859.801183132641199,676029.236064975149930
Abu Dhabi City,41,YAS ISLAND,1330,YS3_01,4588,2024,All property types,5 beds,36,3859.801183132641199,676029.236064975149930
Abu Dhabi City,41,YAS ISLAND,1330,YS3_01,4588,2024,All property types,7+ beds,4,3859.801183132641199,676029.236064975149930
Abu Dhabi City,41,YAS ISLAND,1330,YS3_01,4588,2024,All property types,All beds,199,3859.801183132641199,676029.236064975149930
Abu Dhabi City,41,YAS ISLAND,1330,YS3_01,4588,2024,Villa / Townhouse,4 beds,159,3859.801183132641199,676029.236064975149930
Abu Dhabi City,41,YAS ISLAND,1330,YS3_01,4588,2024,Villa / Townhouse,5 beds,36,3859.801183132641199,676029.236064975149930
Abu Dhabi City,41,YAS ISLAND,1330,YS3_01,4588,2024,Villa / Townhouse,7+ beds,4,3859.801183132641199,676029.236064975149930
Abu Dhabi City,41,YAS ISLAND,1330,YS3_01,4588,2024,Villa / Townhouse,All beds,199,3859.801183132641199,676029.236064975149930
Abu Dhabi City,41,YAS ISLAND,1330,YS3_01,4588,2025,All property types,4 beds,160,3859.801183132641199,676029.236064975149930
Abu Dhabi City,41,YAS ISLAND,1330,YS3_01,4588,2025,All property types,5 beds,36,3859.801183132641199,676029.236064975149930
Abu Dhabi City,41,YAS ISLAND,1330,YS3_01,4588,2025,All property types,7+ beds,4,3859.801183132641199,676029.236064975149930
Abu Dhabi City,41,YAS ISLAND,1330,YS3_01,4588,2025,All property types,All beds,200,3859.801183132641199,676029.236064975149930
Abu Dhabi City,41,YAS ISLAND,1330,YS3_01,4588,2025,Villa / Townhouse,4 beds,160,3859.801183132641199,676029.236064975149930
Abu Dhabi City,41,YAS ISLAND,1330,YS3_01,4588,2025,Villa / Townhouse,5 beds,36,3859.801183132641199,676029.236064975149930
Abu Dhabi City,41,YAS ISLAND,1330,YS3_01,4588,2025,Villa / Townhouse,7+ beds,4,3859.801183132641199,676029.236064975149930
Abu Dhabi City,41,YAS ISLAND,1330,YS3_01,4588,2025,Villa / Townhouse,All beds,200,3859.801183132641199,676029.236064975149930
Abu Dhabi City,41,YAS ISLAND,1330,YS3_01,4588,2026,All property types,4 beds,160,3859.801183132641199,676029.236064975149930
Abu Dhabi City,41,YAS ISLAND,1330,YS3_01,4588,2026,All property types,5 beds,36,3859.801183132641199,676029.236064975149930
Abu Dhabi City,41,YAS ISLAND,1330,YS3_01,4588,2026,All property types,7+ beds,4,3859.801183132641199,676029.236064975149930
Abu Dhabi City,41,YAS ISLAND,1330,YS3_01,4588,2026,All property types,All beds,200,3859.801183132641199,676029.236064975149930
Abu Dhabi City,41,YAS ISLAND,1330,YS3_01,4588,2026,Villa / Townhouse,4 beds,160,3859.801183132641199,676029.236064975149930
Abu Dhabi City,41,YAS ISLAND,1330,YS3_01,4588,2026,Villa / Townhouse,5 beds,36,3859.801183132641199,676029.236064975149930
Abu Dhabi City,41,YAS ISLAND,1330,YS3_01,4588,2026,Villa / Townhouse,7+ beds,4,3859.801183132641199,676029.236064975149930
Abu Dhabi City,41,YAS ISLAND,1330,YS3_01,4588,2026,Villa / Townhouse,All beds,200,3859.801183132641199,676029.236064975149930
Abu Dhabi City,41,YAS ISLAND,1330,YS3_01,4588,2027,All property types,4 beds,160,3859.801183132641199,676029.236064975149930
Abu Dhabi City,41,YAS ISLAND,1330,YS3_01,4588,2027,All property types,5 beds,36,3859.801183132641199,676029.236064975149930
Abu Dhabi City,41,YAS ISLAND,1330,YS3_01,4588,2027,All property types,7+ beds,4,3859.801183132641199,676029.236064975149930
Abu Dhabi City,41,YAS ISLAND,1330,YS3_01,4588,2027,All property types,All beds,200,3859.801183132641199,676029.236064975149930
Abu Dhabi City,41,YAS ISLAND,1330,YS3_01,4588,2027,Villa / Townhouse,4 beds,160,3859.801183132641199,676029.236064975149930
Abu Dhabi City,41,YAS ISLAND,1330,YS3_01,4588,2027,Villa / Townhouse,5 beds,36,3859.801183132641199,676029.236064975149930
Abu Dhabi City,41,YAS ISLAND,1330,YS3_01,4588,2027,Villa / Townhouse,7+ beds,4,3859.801183132641199,676029.236064975149930
Abu Dhabi City,41,YAS ISLAND,1330,YS3_01,4588,2027,Villa / Townhouse,All beds,200,3859.801183132641199,676029.236064975149930
Abu Dhabi City,41,YAS ISLAND,1330,YS3_01,4588,2028,All property types,4 beds,160,3859.801183132641199,676029.236064975149930
Abu Dhabi City,41,YAS ISLAND,1330,YS3_01,4588,2028,All property types,5 beds,36,3859.801183132641199,676029.236064975149930
Abu Dhabi City,41,YAS ISLAND,1330,YS3_01,4588,2028,All property types,7+ beds,4,3859.801183132641199,676029.236064975149930
Abu Dhabi City,41,YAS ISLAND,1330,YS3_01,4588,2028,All property types,All beds,200,3859.801183132641199,676029.236064975149930
Abu Dhabi City,41,YAS ISLAND,1330,YS3_01,4588,2028,Villa / Townhouse,4 beds,160,3859.801183132641199,676029.236064975149930
Abu Dhabi City,41,YAS ISLAND,1330,YS3_01,4588,2028,Villa / Townhouse,5 beds,36,3859.801183132641199,676029.236064975149930
Abu Dhabi City,41,YAS ISLAND,1330,YS3_01,4588,2028,Villa / Townhouse,7+ beds,4,3859.801183132641199,676029.236064975149930
Abu Dhabi City,41,YAS ISLAND,1330,YS3_01,4588,2028,Villa / Townhouse,All beds,200,3859.801183132641199,676029.236064975149930
Abu Dhabi City,41,AL REEM ISLAND,57,RT8,5227,2027,All property types,3 beds,372,3436.833519042419994,674140.507862945087254
Abu Dhabi City,41,AL REEM ISLAND,57,RT8,5227,2027,All property types,4 beds,205,3436.833519042419994,674140.507862945087254
Abu Dhabi City,41,AL REEM ISLAND,57,RT8,5227,2027,All property types,5 beds,7,3436.833519042419994,674140.507862945087254
Abu Dhabi City,41,AL REEM ISLAND,57,RT8,5227,2027,All property types,6 beds,3,3436.833519042419994,674140.507862945087254
Abu Dhabi City,41,AL REEM ISLAND,57,RT8,5227,2027,All property types,7+ beds,6,3436.833519042419994,674140.507862945087254
Abu Dhabi City,41,AL REEM ISLAND,57,RT8,5227,2027,All property types,All beds,679,3436.833519042419994,674140.507862945087254
Abu Dhabi City,41,AL REEM ISLAND,57,RT8,5227,2027,All property types,Undefined,86,3436.833519042419994,674140.507862945087254
Abu Dhabi City,41,AL REEM ISLAND,57,RT8,5227,2027,Villa / Townhouse,3 beds,372,3436.833519042419994,674140.507862945087254
Abu Dhabi City,41,AL REEM ISLAND,57,RT8,5227,2027,Villa / Townhouse,4 beds,205,3436.833519042419994,674140.507862945087254
Abu Dhabi City,41,AL REEM ISLAND,57,RT8,5227,2027,Villa / Townhouse,5 beds,7,3436.833519042419994,674140.507862945087254
Abu Dhabi City,41,AL REEM ISLAND,57,RT8,5227,2027,Villa / Townhouse,6 beds,3,3436.833519042419994,674140.507862945087254
Abu Dhabi City,41,AL REEM ISLAND,57,RT8,5227,2027,Villa / Townhouse,7+ beds,6,3436.833519042419994,674140.507862945087254
Abu Dhabi City,41,AL REEM ISLAND,57,RT8,5227,2027,Villa / Townhouse,All beds,679,3436.833519042419994,674140.507862945087254
Abu Dhabi City,41,AL REEM ISLAND,57,RT8,5227,2027,Villa / Townhouse,Undefined,86,3436.833519042419994,674140.507862945087254
Abu Dhabi City,41,AL REEM ISLAND,57,RT8,5227,2028,All property types,1 bed,416,3436.833519042419994,674140.507862945087254
Abu Dhabi City,41,AL REEM ISLAND,57,RT8,5227,2028,All property types,2 beds,451,3436.833519042419994,674140.507862945087254
Abu Dhabi City,41,AL REEM ISLAND,57,RT8,5227,2028,All property types,3 beds,489,3436.833519042419994,674140.507862945087254
Abu Dhabi City,41,AL REEM ISLAND,57,RT8,5227,2028,All property types,4 beds,205,3436.833519042419994,674140.507862945087254
Abu Dhabi City,41,AL REEM ISLAND,57,RT8,5227,2028,All property types,5 beds,7,3436.833519042419994,674140.507862945087254
Abu Dhabi City,41,AL REEM ISLAND,57,RT8,5227,2028,All property types,6 beds,3,3436.833519042419994,674140.507862945087254
Abu Dhabi City,41,AL REEM ISLAND,57,RT8,5227,2028,All property types,7+ beds,6,3436.833519042419994,674140.507862945087254
Abu Dhabi City,41,AL REEM ISLAND,57,RT8,5227,2028,All property types,All beds,1663,3436.833519042419994,674140.507862945087254
Abu Dhabi City,41,AL REEM ISLAND,57,RT8,5227,2028,All property types,Undefined,86,3436.833519042419994,674140.507862945087254
Abu Dhabi City,41,AL REEM ISLAND,57,RT8,5227,2028,Apartment / Duplex,1 bed,416,3436.833519042419994,674140.507862945087254
Abu Dhabi City,41,AL REEM ISLAND,57,RT8,5227,2028,Apartment / Duplex,2 beds,451,3436.833519042419994,674140.507862945087254
Abu Dhabi City,41,AL REEM ISLAND,57,RT8,5227,2028,Apartment / Duplex,3 beds,117,3436.833519042419994,674140.507862945087254
Abu Dhabi City,41,AL REEM ISLAND,57,RT8,5227,2028,Apartment / Duplex,All beds,984,3436.833519042419994,674140.507862945087254
Abu Dhabi City,41,AL REEM ISLAND,57,RT8,5227,2028,Villa / Townhouse,3 beds,372,3436.833519042419994,674140.507862945087254
Abu Dhabi City,41,AL REEM ISLAND,57,RT8,5227,2028,Villa / Townhouse,4 beds,205,3436.833519042419994,674140.507862945087254
Abu Dhabi City,41,AL REEM ISLAND,57,RT8,5227,2028,Villa / Townhouse,5 beds,7,3436.833519042419994,674140.507862945087254
Abu Dhabi City,41,AL REEM ISLAND,57,RT8,5227,2028,Villa / Townhouse,6 beds,3,3436.833519042419994,674140.507862945087254
Abu Dhabi City,41,AL REEM ISLAND,57,RT8,5227,2028,Villa / Townhouse,7+ beds,6,3436.833519042419994,674140.507862945087254
Abu Dhabi City,41,AL REEM ISLAND,57,RT8,5227,2028,Villa / Townhouse,All beds,679,3436.833519042419994,674140.507862945087254
Abu Dhabi City,41,AL REEM ISLAND,57,RT8,5227,2028,Villa / Townhouse,Undefined,86,3436.833519042419994,674140.507862945087254
Abu Dhabi City,41,YAS ISLAND,1330,YS2,4573,2026,All property types,1 bed,612,5885.782868921586669,2087462.181635806336999
Abu Dhabi City,41,YAS ISLAND,1330,YS2,4573,2026,All property types,2 beds,100,5885.782868921586669,2087462.181635806336999
Abu Dhabi City,41,YAS ISLAND,1330,YS2,4573,2026,All property types,3 beds,24,5885.782868921586669,2087462.181635806336999
Abu Dhabi City,41,YAS ISLAND,1330,YS2,4573,2026,All property types,All beds,736,5885.782868921586669,2087462.181635806336999
Abu Dhabi City,41,YAS ISLAND,1330,YS2,4573,2026,Apartment / Duplex,1 bed,612,5885.782868921586669,2087462.181635806336999
Abu Dhabi City,41,YAS ISLAND,1330,YS2,4573,2026,Apartment / Duplex,2 beds,100,5885.782868921586669,2087462.181635806336999
Abu Dhabi City,41,YAS ISLAND,1330,YS2,4573,2026,Apartment / Duplex,3 beds,24,5885.782868921586669,2087462.181635806336999
Abu Dhabi City,41,YAS ISLAND,1330,YS2,4573,2026,Apartment / Duplex,All beds,736,5885.782868921586669,2087462.181635806336999
Abu Dhabi City,41,YAS ISLAND,1330,YS2,4573,2027,All property types,1 bed,1066,5885.782868921586669,2087462.181635806336999
Abu Dhabi City,41,YAS ISLAND,1330,YS2,4573,2027,All property types,2 beds,248,5885.782868921586669,2087462.181635806336999
Abu Dhabi City,41,YAS ISLAND,1330,YS2,4573,2027,All property types,3 beds,203,5885.782868921586669,2087462.181635806336999
Abu Dhabi City,41,YAS ISLAND,1330,YS2,4573,2027,All property types,4 beds,42,5885.782868921586669,2087462.181635806336999
Abu Dhabi City,41,YAS ISLAND,1330,YS2,4573,2027,All property types,5 beds,9,5885.782868921586669,2087462.181635806336999
Abu Dhabi City,41,YAS ISLAND,1330,YS2,4573,2027,All property types,All beds,1814,5885.782868921586669,2087462.181635806336999
Abu Dhabi City,41,YAS ISLAND,1330,YS2,4573,2027,All property types,Studio,187,5885.782868921586669,2087462.181635806336999
Abu Dhabi City,41,YAS ISLAND,1330,YS2,4573,2027,All property types,Undefined,59,5885.782868921586669,2087462.181635806336999
Abu Dhabi City,41,YAS ISLAND,1330,YS2,4573,2027,Apartment / Duplex,1 bed,1066,5885.782868921586669,2087462.181635806336999
Abu Dhabi City,41,YAS ISLAND,1330,YS2,4573,2027,Apartment / Duplex,2 beds,233,5885.782868921586669,2087462.181635806336999
Abu Dhabi City,41,YAS ISLAND,1330,YS2,4573,2027,Apartment / Duplex,3 beds,180,5885.782868921586669,2087462.181635806336999
Abu Dhabi City,41,YAS ISLAND,1330,YS2,4573,2027,Apartment / Duplex,4 beds,41,5885.782868921586669,2087462.181635806336999
Abu Dhabi City,41,YAS ISLAND,1330,YS2,4573,2027,Apartment / Duplex,5 beds,9,5885.782868921586669,2087462.181635806336999
Abu Dhabi City,41,YAS ISLAND,1330,YS2,4573,2027,Apartment / Duplex,All beds,1729,5885.782868921586669,2087462.181635806336999
Abu Dhabi City,41,YAS ISLAND,1330,YS2,4573,2027,Apartment / Duplex,Studio,187,5885.782868921586669,2087462.181635806336999
Abu Dhabi City,41,YAS ISLAND,1330,YS2,4573,2027,Apartment / Duplex,Undefined,13,5885.782868921586669,2087462.181635806336999
Abu Dhabi City,41,YAS ISLAND,1330,YS2,4573,2027,Villa / Townhouse,2 beds,15,5885.782868921586669,2087462.181635806336999
Abu Dhabi City,41,YAS ISLAND,1330,YS2,4573,2027,Villa / Townhouse,3 beds,23,5885.782868921586669,2087462.181635806336999
Abu Dhabi City,41,YAS ISLAND,1330,YS2,4573,2027,Villa / Townhouse,4 beds,1,5885.782868921586669,2087462.181635806336999
