year,municipality,municipality_id,district,district_id,community,community_id,typology,layout,rent_type,lower_rent_value,upper_rent_value,avg_rent_value,lable,shape_Length,shape_Area
2022,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,5 beds,All types,160000.000000000000000,185102.000000000000000,173861.000000000000000,174k,2838.361921747829001,474895.899450109398458
2022,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,5 beds,New,167000.000000000000000,189600.000000000000000,183583.000000000000000,184k,2838.361921747829001,474895.899450109398458
2022,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,5 beds,Renewal,160000.000000000000000,185000.000000000000000,172006.000000000000000,172k,2838.361921747829001,474895.899450109398458
2022,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,All beds,All types,100410.399999999994179,125763.600000000005821,113491.399999999994179,113k,2838.361921747829001,474895.899450109398458
2022,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,All beds,New,102280.000000000000000,122740.000000000000000,114185.399999999994179,114k,2838.361921747829001,474895.899450109398458
2022,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,All beds,Renewal,99871.399999999994179,126316.600000000005821,113711.199999999997090,114k,2838.361921747829001,474895.899450109398458
2023,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,All property types,1 bed,All types,51858.000000000000000,59836.000000000000000,56602.000000000000000,57k,2838.361921747829001,474895.899450109398458
2023,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,All property types,1 bed,New,51858.000000000000000,59836.000000000000000,57442.000000000000000,57k,2838.361921747829001,474895.899450109398458
2023,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,All property types,1 bed,Renewal,51309.000000000000000,59836.000000000000000,55894.000000000000000,56k,2838.361921747829001,474895.899450109398458
2023,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,All property types,2 beds,All types,73798.000000000000000,96757.000000000000000,87171.000000000000000,87k,2838.361921747829001,474895.899450109398458
2023,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,All property types,2 beds,New,73499.000000000000000,94740.000000000000000,86110.000000000000000,86k,2838.361921747829001,474895.899450109398458
2023,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,All property types,2 beds,Renewal,74621.000000000000000,99477.000000000000000,87801.000000000000000,88k,2838.361921747829001,474895.899450109398458
2023,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,All property types,3 beds,All types,99527.000000000000000,114937.000000000000000,109706.000000000000000,110k,2838.361921747829001,474895.899450109398458
2023,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,All property types,3 beds,New,100525.000000000000000,109699.000000000000000,107982.000000000000000,108k,2838.361921747829001,474895.899450109398458
2023,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,All property types,3 beds,Renewal,98779.000000000000000,115782.000000000000000,110411.000000000000000,110k,2838.361921747829001,474895.899450109398458
2023,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,All property types,4 beds,All types,119672.000000000000000,149590.000000000000000,138862.000000000000000,139k,2838.361921747829001,474895.899450109398458
2023,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,All property types,4 beds,New,124658.000000000000000,149590.000000000000000,139142.000000000000000,139k,2838.361921747829001,474895.899450109398458
2023,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,All property types,4 beds,Renewal,119672.000000000000000,149590.000000000000000,138757.000000000000000,139k,2838.361921747829001,474895.899450109398458
2023,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,All property types,5 beds,All types,159762.000000000000000,189386.000000000000000,179928.000000000000000,180k,2838.361921747829001,474895.899450109398458
2023,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,All property types,5 beds,New,170000.000000000000000,239344.000000000000000,197683.000000000000000,198k,2838.361921747829001,474895.899450109398458
2023,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,All property types,5 beds,Renewal,159563.000000000000000,185093.000000000000000,173886.000000000000000,174k,2838.361921747829001,474895.899450109398458
2023,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,All property types,All beds,All types,100923.399999999994179,122101.199999999997090,114453.800000000002910,114k,2838.361921747829001,474895.899450109398458
2023,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,All property types,All beds,New,104108.000000000000000,130641.800000000002910,117671.800000000002910,118k,2838.361921747829001,474895.899450109398458
2023,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,All property types,All beds,Renewal,100788.800000000002910,121955.600000000005821,113349.800000000002910,113k,2838.361921747829001,474895.899450109398458
2023,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,1 bed,All types,51858.000000000000000,59836.000000000000000,56602.000000000000000,57k,2838.361921747829001,474895.899450109398458
2023,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,1 bed,New,51858.000000000000000,59836.000000000000000,57442.000000000000000,57k,2838.361921747829001,474895.899450109398458
2023,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,1 bed,Renewal,51309.000000000000000,59836.000000000000000,55894.000000000000000,56k,2838.361921747829001,474895.899450109398458
2023,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,2 beds,All types,73798.000000000000000,96757.000000000000000,87171.000000000000000,87k,2838.361921747829001,474895.899450109398458
2023,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,2 beds,New,73499.000000000000000,94740.000000000000000,86110.000000000000000,86k,2838.361921747829001,474895.899450109398458
2023,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,2 beds,Renewal,74621.000000000000000,99477.000000000000000,87801.000000000000000,88k,2838.361921747829001,474895.899450109398458
2023,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,3 beds,All types,99527.000000000000000,114937.000000000000000,109706.000000000000000,110k,2838.361921747829001,474895.899450109398458
2023,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,3 beds,New,100525.000000000000000,109699.000000000000000,107982.000000000000000,108k,2838.361921747829001,474895.899450109398458
2023,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,3 beds,Renewal,98779.000000000000000,115782.000000000000000,110411.000000000000000,110k,2838.361921747829001,474895.899450109398458
2023,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,4 beds,All types,119672.000000000000000,149590.000000000000000,138862.000000000000000,139k,2838.361921747829001,474895.899450109398458
2023,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,4 beds,New,124658.000000000000000,149590.000000000000000,139142.000000000000000,139k,2838.361921747829001,474895.899450109398458
2023,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,4 beds,Renewal,119672.000000000000000,149590.000000000000000,138757.000000000000000,139k,2838.361921747829001,474895.899450109398458
2023,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,5 beds,All types,159762.000000000000000,189386.000000000000000,179928.000000000000000,180k,2838.361921747829001,474895.899450109398458
2023,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,5 beds,New,170000.000000000000000,239344.000000000000000,197683.000000000000000,198k,2838.361921747829001,474895.899450109398458
2023,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,5 beds,Renewal,159563.000000000000000,185093.000000000000000,173886.000000000000000,174k,2838.361921747829001,474895.899450109398458
2023,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,All beds,All types,100923.399999999994179,122101.199999999997090,114453.800000000002910,114k,2838.361921747829001,474895.899450109398458
2023,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,All beds,New,104108.000000000000000,130641.800000000002910,117671.800000000002910,118k,2838.361921747829001,474895.899450109398458
2023,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,All beds,Renewal,100788.800000000002910,121955.600000000005821,113349.800000000002910,113k,2838.361921747829001,474895.899450109398458
2024,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,All property types,1 bed,All types,55000.000000000000000,68900.000000000000000,61023.000000000000000,61k,2838.361921747829001,474895.899450109398458
2024,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,All property types,1 bed,New,57555.000000000000000,70000.000000000000000,64070.000000000000000,64k,2838.361921747829001,474895.899450109398458
2024,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,All property types,1 bed,Renewal,53000.000000000000000,62000.000000000000000,58278.000000000000000,58k,2838.361921747829001,474895.899450109398458
2024,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,All property types,2 beds,All types,77540.000000000000000,100000.000000000000000,90117.000000000000000,90k,2838.361921747829001,474895.899450109398458
2024,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,All property types,2 beds,New,80000.000000000000000,100000.000000000000000,91332.000000000000000,91k,2838.361921747829001,474895.899450109398458
2024,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,All property types,2 beds,Renewal,75790.000000000000000,99750.000000000000000,89335.000000000000000,89k,2838.361921747829001,474895.899450109398458
2024,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,All property types,3 beds,All types,102500.000000000000000,120750.000000000000000,113848.000000000000000,114k,2838.361921747829001,474895.899450109398458
2024,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,All property types,3 beds,New,105644.000000000000000,119275.000000000000000,114750.000000000000000,115k,2838.361921747829001,474895.899450109398458
2024,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,All property types,3 beds,Renewal,101052.000000000000000,125358.000000000000000,113319.000000000000000,113k,2838.361921747829001,474895.899450109398458
2024,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,All property types,4 beds,All types,120750.000000000000000,159973.000000000000000,142675.000000000000000,143k,2838.361921747829001,474895.899450109398458
2024,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,All property types,4 beds,New,131958.000000000000000,174000.000000000000000,152343.000000000000000,152k,2838.361921747829001,474895.899450109398458
2024,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,All property types,4 beds,Renewal,120000.000000000000000,152550.000000000000000,137329.000000000000000,137k,2838.361921747829001,474895.899450109398458
2024,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,All property types,5 beds,All types,165000.000000000000000,194850.000000000000000,184355.000000000000000,184k,2838.361921747829001,474895.899450109398458
2024,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,All property types,5 beds,New,180000.000000000000000,239344.000000000000000,205894.000000000000000,206k,2838.361921747829001,474895.899450109398458
2024,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,All property types,5 beds,Renewal,165000.000000000000000,196600.000000000000000,184592.000000000000000,185k,2838.361921747829001,474895.899450109398458
2024,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,All property types,All beds,All types,104158.000000000000000,128894.600000000005821,118403.600000000005821,118k,2838.361921747829001,474895.899450109398458
2024,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,All property types,All beds,New,111031.399999999994179,140523.799999999988358,125677.800000000002910,126k,2838.361921747829001,474895.899450109398458
2024,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,All property types,All beds,Renewal,102968.399999999994179,127251.600000000005821,116570.600000000005821,117k,2838.361921747829001,474895.899450109398458
2024,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,1 bed,All types,55000.000000000000000,68900.000000000000000,61023.000000000000000,61k,2838.361921747829001,474895.899450109398458
2024,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,1 bed,New,57555.000000000000000,70000.000000000000000,64070.000000000000000,64k,2838.361921747829001,474895.899450109398458
2024,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,1 bed,Renewal,53000.000000000000000,62000.000000000000000,58278.000000000000000,58k,2838.361921747829001,474895.899450109398458
2024,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,2 beds,All types,77540.000000000000000,100000.000000000000000,90117.000000000000000,90k,2838.361921747829001,474895.899450109398458
2024,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,2 beds,New,80000.000000000000000,100000.000000000000000,91332.000000000000000,91k,2838.361921747829001,474895.899450109398458
2024,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,2 beds,Renewal,75790.000000000000000,99750.000000000000000,89335.000000000000000,89k,2838.361921747829001,474895.899450109398458
2024,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,3 beds,All types,102500.000000000000000,120750.000000000000000,113848.000000000000000,114k,2838.361921747829001,474895.899450109398458
2024,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,3 beds,New,105644.000000000000000,119275.000000000000000,114750.000000000000000,115k,2838.361921747829001,474895.899450109398458
2024,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,3 beds,Renewal,101052.000000000000000,125358.000000000000000,113319.000000000000000,113k,2838.361921747829001,474895.899450109398458
2024,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,4 beds,All types,120750.000000000000000,159973.000000000000000,142675.000000000000000,143k,2838.361921747829001,474895.899450109398458
2024,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,4 beds,New,131958.000000000000000,174000.000000000000000,152343.000000000000000,152k,2838.361921747829001,474895.899450109398458
2024,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,4 beds,Renewal,120000.000000000000000,152550.000000000000000,137329.000000000000000,137k,2838.361921747829001,474895.899450109398458
2024,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,5 beds,All types,165000.000000000000000,194850.000000000000000,184355.000000000000000,184k,2838.361921747829001,474895.899450109398458
2024,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,5 beds,New,180000.000000000000000,239344.000000000000000,205894.000000000000000,206k,2838.361921747829001,474895.899450109398458
2024,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,5 beds,Renewal,165000.000000000000000,196600.000000000000000,184592.000000000000000,185k,2838.361921747829001,474895.899450109398458
2024,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,All beds,All types,104158.000000000000000,128894.600000000005821,118403.600000000005821,118k,2838.361921747829001,474895.899450109398458
2024,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,All beds,New,111031.399999999994179,140523.799999999988358,125677.800000000002910,126k,2838.361921747829001,474895.899450109398458
2024,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,All beds,Renewal,102968.399999999994179,127251.600000000005821,116570.600000000005821,117k,2838.361921747829001,474895.899450109398458
2025,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,All property types,1 bed,All types,56228.000000000000000,77178.000000000000000,67637.000000000000000,68k,2838.361921747829001,474895.899450109398458
2025,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,All property types,1 bed,New,62000.000000000000000,80663.000000000000000,72501.000000000000000,73k,2838.361921747829001,474895.899450109398458
2025,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,All property types,1 bed,Renewal,54022.000000000000000,68250.000000000000000,61012.000000000000000,61k,2838.361921747829001,474895.899450109398458
2025,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,All property types,2 beds,All types,83999.000000000000000,110000.000000000000000,98015.000000000000000,98k,2838.361921747829001,474895.899450109398458
2025,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,All property types,2 beds,New,89850.000000000000000,110000.000000000000000,101262.000000000000000,101k,2838.361921747829001,474895.899450109398458
2025,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,All property types,2 beds,Renewal,78004.000000000000000,109990.000000000000000,94713.000000000000000,95k,2838.361921747829001,474895.899450109398458
2025,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,All property types,3 beds,All types,110000.000000000000000,138592.000000000000000,125871.000000000000000,126k,2838.361921747829001,474895.899450109398458
2025,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,All property types,3 beds,New,113611.000000000000000,136796.000000000000000,133639.000000000000000,134k,2838.361921747829001,474895.899450109398458
2025,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,All property types,3 beds,Renewal,108159.000000000000000,139500.000000000000000,121986.000000000000000,122k,2838.361921747829001,474895.899450109398458
2025,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,All property types,4 beds,All types,132300.000000000000000,171495.000000000000000,152639.000000000000000,153k,2838.361921747829001,474895.899450109398458
2025,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,All property types,4 beds,New,149874.000000000000000,183648.000000000000000,164299.000000000000000,164k,2838.361921747829001,474895.899450109398458
2025,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,All property types,4 beds,Renewal,128400.000000000000000,157500.000000000000000,145946.000000000000000,146k,2838.361921747829001,474895.899450109398458
2025,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,All property types,5 beds,All types,168000.000000000000000,209475.000000000000000,187254.000000000000000,187k,2838.361921747829001,474895.899450109398458
2025,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,All property types,5 beds,Renewal,168000.000000000000000,205485.000000000000000,185130.000000000000000,185k,2838.361921747829001,474895.899450109398458
2025,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,All property types,All beds,All types,110105.399999999994179,141348.000000000000000,126283.199999999997090,126k,2838.361921747829001,474895.899450109398458
2025,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,All property types,All beds,New,103833.750000000000000,127776.750000000000000,117925.250000000000000,118k,2838.361921747829001,474895.899450109398458
2025,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,All property types,All beds,Renewal,107317.000000000000000,136145.000000000000000,121757.399999999994179,122k,2838.361921747829001,474895.899450109398458
2025,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,1 bed,All types,56228.000000000000000,77178.000000000000000,67637.000000000000000,68k,2838.361921747829001,474895.899450109398458
2025,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,1 bed,New,62000.000000000000000,80663.000000000000000,72501.000000000000000,73k,2838.361921747829001,474895.899450109398458
2025,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,1 bed,Renewal,54022.000000000000000,68250.000000000000000,61012.000000000000000,61k,2838.361921747829001,474895.899450109398458
2025,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,2 beds,All types,83999.000000000000000,110000.000000000000000,98015.000000000000000,98k,2838.361921747829001,474895.899450109398458
2025,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,2 beds,New,89850.000000000000000,110000.000000000000000,101262.000000000000000,101k,2838.361921747829001,474895.899450109398458
2025,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,2 beds,Renewal,78004.000000000000000,109990.000000000000000,94713.000000000000000,95k,2838.361921747829001,474895.899450109398458
2025,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,3 beds,All types,110000.000000000000000,138592.000000000000000,125871.000000000000000,126k,2838.361921747829001,474895.899450109398458
2025,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,3 beds,New,113611.000000000000000,136796.000000000000000,133639.000000000000000,134k,2838.361921747829001,474895.899450109398458
2025,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,3 beds,Renewal,108159.000000000000000,139500.000000000000000,121986.000000000000000,122k,2838.361921747829001,474895.899450109398458
2025,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,4 beds,All types,132300.000000000000000,171495.000000000000000,152639.000000000000000,153k,2838.361921747829001,474895.899450109398458
2025,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,4 beds,New,149874.000000000000000,183648.000000000000000,164299.000000000000000,164k,2838.361921747829001,474895.899450109398458
2025,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,4 beds,Renewal,128400.000000000000000,157500.000000000000000,145946.000000000000000,146k,2838.361921747829001,474895.899450109398458
2025,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,5 beds,All types,168000.000000000000000,209475.000000000000000,187254.000000000000000,187k,2838.361921747829001,474895.899450109398458
2025,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,5 beds,Renewal,168000.000000000000000,205485.000000000000000,185130.000000000000000,185k,2838.361921747829001,474895.899450109398458
2025,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,All beds,All types,110105.399999999994179,141348.000000000000000,126283.199999999997090,126k,2838.361921747829001,474895.899450109398458
2025,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,All beds,New,103833.750000000000000,127776.750000000000000,117925.250000000000000,118k,2838.361921747829001,474895.899450109398458
2025,Abu Dhabi City,41,AL REEM ISLAND,57,RT1,782,Apartment / Duplex,All beds,Renewal,107317.000000000000000,136145.000000000000000,121757.399999999994179,122k,2838.361921747829001,474895.899450109398458
2022,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,All property types,3 beds,All types,198360.000000000000000,230200.000000000000000,215177.000000000000000,215k,5385.253331136637826,1210439.439501311862841
2022,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,All property types,3 beds,New,219239.000000000000000,232000.000000000000000,222329.000000000000000,222k,5385.253331136637826,1210439.439501311862841
2022,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,All property types,3 beds,Renewal,190000.000000000000000,225000.000000000000000,208574.000000000000000,209k,5385.253331136637826,1210439.439501311862841
2022,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,All property types,4 beds,All types,226218.000000000000000,279399.000000000000000,264157.000000000000000,264k,5385.253331136637826,1210439.439501311862841
2022,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,All property types,4 beds,New,254000.000000000000000,312000.000000000000000,301003.000000000000000,301k,5385.253331136637826,1210439.439501311862841
2022,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,All property types,4 beds,Renewal,220000.000000000000000,260000.000000000000000,243222.000000000000000,243k,5385.253331136637826,1210439.439501311862841
2022,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,All property types,All beds,All types,212289.000000000000000,254799.500000000000000,239667.000000000000000,240k,5385.253331136637826,1210439.439501311862841
2022,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,All property types,All beds,New,236619.500000000000000,272000.000000000000000,261666.000000000000000,262k,5385.253331136637826,1210439.439501311862841
2022,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,All property types,All beds,Renewal,205000.000000000000000,242500.000000000000000,225898.000000000000000,226k,5385.253331136637826,1210439.439501311862841
2022,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,Villa / Townhouse,3 beds,All types,198360.000000000000000,230200.000000000000000,215177.000000000000000,215k,5385.253331136637826,1210439.439501311862841
2022,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,Villa / Townhouse,3 beds,New,219239.000000000000000,232000.000000000000000,222329.000000000000000,222k,5385.253331136637826,1210439.439501311862841
2022,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,Villa / Townhouse,3 beds,Renewal,190000.000000000000000,225000.000000000000000,208574.000000000000000,209k,5385.253331136637826,1210439.439501311862841
2022,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,Villa / Townhouse,4 beds,All types,226218.000000000000000,279399.000000000000000,264157.000000000000000,264k,5385.253331136637826,1210439.439501311862841
2022,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,Villa / Townhouse,4 beds,New,254000.000000000000000,312000.000000000000000,301003.000000000000000,301k,5385.253331136637826,1210439.439501311862841
2022,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,Villa / Townhouse,4 beds,Renewal,220000.000000000000000,260000.000000000000000,243222.000000000000000,243k,5385.253331136637826,1210439.439501311862841
2022,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,Villa / Townhouse,All beds,All types,212289.000000000000000,254799.500000000000000,239667.000000000000000,240k,5385.253331136637826,1210439.439501311862841
