year,municipality,municipality_id,district,district_id,community,community_id,typology,layout,rent_type,volume,value,shape_Length,shape_Area
2024,Abu Dhabi City,41,Yas Island,1330,YS6,4574,All property types,All beds,new,12.000000000000000,6318957.000000000000000,8663.801177882978664,1481084.912168154958636
2024,Abu Dhabi City,41,Yas Island,1330,YS6,4574,All property types,All beds,renewal,2.000000000000000,1825440.000000000000000,8663.801177882978664,1481084.912168154958636
2025,Abu Dhabi City,41,Yas Island,1330,YS6,4574,All property types,All beds,new,4.000000000000000,2211045.000000000000000,8663.801177882978664,1481084.912168154958636
2025,Abu Dhabi City,41,Yas Island,1330,YS6,4574,All property types,All beds,renewal,3.000000000000000,666884.000000000000000,8663.801177882978664,1481084.912168154958636
2022,Abu Dhabi City,41,Yas Island,1330,YS6,4574,All property types,studio,new,1.000000000000000,1284000.000000000000000,8663.801177882978664,1481084.912168154958636
2023,Abu Dhabi City,41,Yas Island,1330,YS6,4574,All property types,studio,new,18.000000000000000,5791034.000000000000000,8663.801177882978664,1481084.912168154958636
2023,Abu Dhabi City,41,Yas Island,1330,YS6,4574,All property types,studio,renewal,1.000000000000000,1284000.000000000000000,8663.801177882978664,1481084.912168154958636
2024,Abu Dhabi City,41,Yas Island,1330,YS6,4574,All property types,studio,new,12.000000000000000,6318957.000000000000000,8663.801177882978664,1481084.912168154958636
2024,Abu Dhabi City,41,Yas Island,1330,YS6,4574,All property types,studio,renewal,2.000000000000000,1825440.000000000000000,8663.801177882978664,1481084.912168154958636
2025,Abu Dhabi City,41,Yas Island,1330,YS6,4574,All property types,studio,new,4.000000000000000,2211045.000000000000000,8663.801177882978664,1481084.912168154958636
2025,Abu Dhabi City,41,Yas Island,1330,YS6,4574,All property types,studio,renewal,3.000000000000000,666884.000000000000000,8663.801177882978664,1481084.912168154958636
2022,Abu Dhabi City,41,Yas Island,1330,YS6,4574,Apartment / Duplex,All beds,new,1.000000000000000,1284000.000000000000000,8663.801177882978664,1481084.912168154958636
2023,Abu Dhabi City,41,Yas Island,1330,YS6,4574,Apartment / Duplex,All beds,new,18.000000000000000,5791034.000000000000000,8663.801177882978664,1481084.912168154958636
2023,Abu Dhabi City,41,Yas Island,1330,YS6,4574,Apartment / Duplex,All beds,renewal,1.000000000000000,1284000.000000000000000,8663.801177882978664,1481084.912168154958636
